"id","priority","phase","task","status","goal_setpoint","acceptance","boundary","evidence","dependencies","risk","notes"
"TODO-010","P0","M1-App-010","LegacyGeometryAdapter P3B：edgeProjectPoint + edgeSplitAtPoint","done","把旧 api_entity_entity_distance -> api_split_curve 的按点切边语义补进 adapter","新增 DTO 和 adapter API；真实 123.stp 上测试 midpoint projection、endpoint rejection、split at projected point；默认 CTest pass；新增实现记录和 build report","只改 app/src/geometry/legacy、app/src/geometry/occ/legacy_adapter、app/tests、文档；不改 domain/rebar 业务","E-IDA-sub_1405D5670；E-DEV-033；E-DEV-034；15_线配筋与弧形组专项初稿.md；16_seg_steelbargroup字段地图初稿.md","M1-App-009","OCCT 投影参数和 ACIS split 点容差不同","M1-App-010 已完成；CTest 8/8 pass；readiness 78/78 pass"
"TODO-011","P0","M1-App-011","LegacyGeometryAdapter P3C：端点 trim 语义","done","复刻旧逻辑 near endpoint threshold 与 trim step 的能力边界","支持按端点方向生成 trim 后 interval summary；测试 near endpoint、短边拒绝、正常 trim；CTest pass；文档记录能力不是 topology mutation","adapter 层内完成；不让钢筋生成器直接调用 OCCT","sub_1405D5670 常量；trim step -0.03；near endpoint 0.1；split length threshold 0.01；E-DEV-035","TODO-010","旧函数 sub_140580950 未完全闭合","M1-App-011 已完成；CTest 8/8 pass；readiness 78/78 pass"
"TODO-012","P0","M1-App-012","LegacyGeometryAdapter P3D：组内最小距离检查","done","给钢筋组算法提供旧 group min-distance 检查需要的几何查询","新增 edge/point/group candidate distance summary；测试组内边距、重复点、阈值判定；CTest pass","adapter + tests；domain 只能依赖 legacy DTO","sub_14059B980；api_entity_point_distance；0.002 min creation distance；E-DEV-036","TODO-010","旧组对象完整字段仍未复刻，但本阶段 adapter DTO 已闭合","M1-App-012 已完成；CTest 8/8 pass；readiness 78/78 pass"
"TODO-013","P0","M1-App-013","LegacyGeometryAdapter P3E：点列 spline 重建","done","封装 api_curve_spline 等价能力，供旧线筋/弧筋流程重建曲线","新增 spline build summary；样本点数按 max(5,length*50)；测试有效点列、点数不足、长度过短；CTest pass","OCCT spline 只在 adapter 内；业务层只看 LegacyCurveRef / summary","sub_1405D5670；api_curve_spline；spline sample count 常量；E-DEV-037","TODO-011","OCCT BSpline 和 ACIS spline 形状可能不完全一致；本阶段是 summary，不是 topology mutation","M1-App-013 已完成；CTest 8/8 pass；readiness 78/78 pass"
"TODO-014","P1","M1-App-014","LegacyWireChain：边链 / wire chain 语义","done","把多段边链包装成旧 ENTITY_LIST / EDGE chain 可用对象","支持边链顺序、连通性、总长度、端点、bbox；测试断链和闭合链；CTest pass","新增 legacy DTO；不实现钢筋排布","旧 VisualTS EDGE / ENTITY_LIST 语义；face boundary loops；E-DEV-038","TODO-010","稳定顺序和选择顺序可能不同；本阶段是 summary，不是 ENTITY_LIST 完整对象","M1-App-014 已完成；CTest 8/8 pass；readiness 78/78 pass"
"TODO-015","P1","M1-App-015","LegacyGeometryAdapter：offset 曲线能力 spike","done","验证 OCCT 是否可稳定替代旧偏移能力","提供 offset preview summary；失败时返回诊断；真实样本测试直线、圆弧、复杂曲线","adapter 层能力验证；不写业务规则","旧逻辑偏移需求；OCCT 几何 API；E-DEV-039","TODO-014","复杂曲线 offset 失败率可能高","M1-App-015 已完成；CTest 8/8 pass；readiness 78/78 pass；xhigh allow_commit；offset 是 preview summary，不等价完整 ACIS offset"
"TODO-016","P1","M1-App-016","LegacyGeometryAdapter：section / 剖切能力 spike","done","补齐剖切、线面求交、剖面圈筋前置几何能力","支持 plane-section summary、edge/face intersection set；测试有交、无交、重合边界","adapter 层；viewer 只可选 smoke","GAP-TECH-004；运行界面确认清单：剖面圈筋；E-DEV-040","TODO-014","OCCT section 和旧 ACIS 容差差异","M1-App-016 已完成；CTest 8/8 pass；readiness 78/78 pass；xhigh allow_commit；section 是 preview summary，不等价完整 ACIS section 或 topology mutation"
"TODO-017","P1","M1-App-017","LegacyGeometryAdapter：sweep / 扫掠能力边界","next","确认扫掠能否作为旧钢筋实体显示/输出底层能力","实现最小 sweep probe 或明确不可用诊断；测试圆形钢筋沿线生成 shape summary","只做几何能力；不产生业务钢筋对象","OCCT sweep/pipe 能力；旧钢筋实体显示需求","TODO-013","大模型扫掠性能可能差","下一轮只做 adapter sweep 能力边界；不创建业务钢筋对象"
"TODO-018","P0","M1-App-018","钢筋领域模型冻结 P1","pending","把 SteelBar / SteelBarSegment / SteelBarGroup 字段按旧证据固化成可编码模型","domain/rebar 新增或修正 DTO；无 OCCT include；字段追溯到 16/13/Detail；单测 pass","只改 domain/rebar 和 tests；禁止 TopoDS/AIS/BRep 泄漏","13_Detail字段映射矩阵.md；16_seg_steelbargroup字段地图初稿.md；E-IDA-018/019","TODO-012","字段含义仍有低置信项","低置信字段进入 99 缺口"
"TODO-019","P0","M1-App-019","旧命令契约绑定 P1","pending","把线筋/弧筋/裁剪等首批旧命令接入 LegacyUiCommandMap 和 command registry","命令 ID、状态机、输入选择类型、NotImplemented 或真实 handler 可追溯；测试 command map","可改 command/UI 契约；不美化成新交互","01_功能操作矩阵.md；03_IDA命令证据.md；08_开发命令契约.md","TODO-018","菜单图片证据不全","不确定命令先 NotImplemented + GAP"
